woolworths mini muffin choc chip, 12.9, 0.1KG, 4.65, 0.36KG, 1
woolworths mini muffin double choc chip, 12.9, 0.1KG, 4.65, 0.36KG, 1
woolworths select muffin apple and bran, 11.9, 0.1KG, 3.80, 4pk, 1
woolworths select mini muffin raspberry, 12.9, 0.1KG, 4.65, 8pk, 1
balconi roll cacao, 13.5, 0.1KG, 2.99, 0.222KG, 1
balconi roll milk, 13.5, 0.1KG, 2.99, 0.222KG, 1
cakemark roll mini chocolate, 26.6, 0.1KG, 3.99, 0.15KG, 1
unibic shortbread italian, 10.0, 0.1KG, 4.99, 0.5KG, 1
cakemark slice brownies, 24.5, 0.1KG, 4.90, 0.2KG, 1
cakemark slice caramel shortcakes, 23.9, 0.1KG, 2.99, 0.125KG, 1
woolworth select slice apricot, 0.67, 1ea, 4.00, 6pk, 1
woolworth select slice caramel, 0.67, 1ea, 4.00, 6pk, 1
woolworth select slice rocky road, 0.67, 1ea, 4.00, 6pk, 1
loacker wafers white tortina, 34.3, 0.1KG, 4.29, 0.125KG, 1
woolworths loaf crusty cobb, 5.6, 0.1KG, 2.50, 0.45KG, 1
woolworths loaf four seed farmhouse, 5.3, 0.1KG, 3.79, 0.72KG, 1
woolworths loaf grain farmhouse, 5.3, 0.1KG, 3.79, 0.72KG, 1
woolworths fresh loaf crusty vienna, 5.6, 0.1KG, 2.50, 0.45KG, 1
woolworths fresh loaf pane di casa, 7.7, 0.1KG, 4.00, 0.52KG, 1
woolworths fresh pastry braid choc hazelnut, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh pastry cinnamon swirl, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh pastry croissant butter, 1.00, 1ea, 3.00, 3pk, 1
woolworths fresh pastry croissant medium, 14.2, 0.1KG, 3.98, 0.28KG, 1
woolworths fresh pastry croissant mini choc, 0.40, 1ea, 3.98, 10pk, 1
woolworths fresh pastry pain au chocolate, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh savoury puff triangle cheese chive, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh scone homestyle buttermilk, 0.77, 1ea, 4.60, 6pk, 1
woolworths fresh scone homestyle fruit, 0.77, 1ea, 4.60, 6pk, 1
woolworths fresh scone homestyle pumpkin, 0.77, 1ea, 4.60, 6pk, 1
woolworths fresh sourdough cobb, 7.7, 0.1KG, 4.00, 0.52KG, 1
woolworths fresh sourdough garlic and olive oil, 10.6, 0.1KG, 5.50, 0.52KG, 1
woolworths fresh sourdough kalamata olive, 10.6, 0.1KG, 5.50, 0.52KG, 1
woolworths croissants jumbo, 0.83, 1ea, 10.00, 12pk, 1
woolworths cup cakes mini iced sprinkles, 0.42, 1ea, 10.00, 24pk, 1
woolworths donuts jam ball, 0.50, 1ea, 9.00, 18pk, 1
woolworths fruit cake loaves, 2.83, 1ea, 8.49, 3pk, 1
woolworths muffin mini, 0.42, 1ea, 10.00, 24pk, 1
goodness superfoods wraps wholegrain barley, 22.2, 0.1KG, 4.99, 0.225KG, 1
helga's wraps mixed grain, 9.1, 0.1KG, 5.09, 0.56KG, 1
helga's wraps traditional white, 9.1, 0.1KG, 5.09, 0.56KG, 1
mission wraps garlic and herb, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps light, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps mini original, 12.5, 0.1KG, 4.79, 0.384KG, 1
mission wraps mini wheat, 12.5, 0.1KG, 4.79, 0.384KG, 1
mission wraps original, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps spinach and herb, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps tomato and basil, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps wholegrain, 8.8, 0.1KG, 4.99, 0.567KG, 1
old time wraps organic gluten free, 28.0, 0.1KG, 6.99, 4pk, 1
vitastic sorj healthy wraps rye, 0.44, 1ea, 3.49, 0.25KG, 1
vitastic sorj healthy wraps wholemeal, 0.44, 1ea, 3.49, 0.25KG, 1
wattle valley wraps greek souvlaki meal kit, 14.6, 0.1KG, 5.98, 8pk, 1
wattle valley wraps lite white, 15.3, 0.1KG, 3.99, 0.26KG, 1
wattle valley wraps peri peri meal kit, 14.6, 0.1KG, 5.98, 8pk, 1
wattle valley wraps soft sourdough, 15.3, 0.1KG, 3.99, 0.26KG, 1
bills organic hi fibre sourdough bread with flaxseed, 9.7, 0.1KG, 5.99, 0.62KG, 1
sauers aroma sourdough rye, 8.0, 0.1KG, 4.79, 0.6KG, 1
schwobs white sourdough cob, 6.4, 0.1KG, 5.09, 0.8KG, 1
schwob's soy and linseed loaf, 8.2, 0.1KG, 5.09, 0.62KG, 1
abbotts village rustic white, 6.3, 0.1KG, 4.75, 0.75KG, 1
buttercup country split white bread, 8.4, 0.1KG, 3.79, 0.45KG, 1
country life white gluten free, 12.9, 0.1KG, 6.69, 0.52KG, 1
country life white gluten, wheat and yeast free, 11.0, 0.1KG, 6.89, 0.625KG, 1
country life white low gi and gluten free, 11.9, 0.1KG, 6.89, 0.58KG, 1
helgas traditional white bread, 4.1, 0.1KG, 3.50, 0.75KG, 1
homebrand white sandwich slice bread, 1.3, 0.1KG, 0.85, 0.65KG, 1
homebrand white toast slice bread, 1.3, 0.1KG, 0.85, 0.65KG, 1
lawsons traditional white bread, 7.2, 0.1KG, 5.79, 0.8KG, 1
mighty soft white large slice sandwich, 4.8, 0.1KG, 3.39, 0.7KG, 1
mighty soft white large slice thick, 4.8, 0.1KG, 3.39, 0.7KG, 1
tip top sunblest white mini loaf, 6.3, 0.1KG, 2.50, 0.4KG, 1
tip top sunblest white sandwich bread, 3.8, 0.1KG, 2.50, 0.65KG, 1
tip top the one white omega 3 sandwich bread, 5.7, 0.1KG, 3.98, 0.7KG, 1
bazaar pita bread pocket white, 0.77, 1ea, 4.60, 6pk, 1
bazaar pita bread pocket wholemeal, 0.77, 1ea, 4.60, 6pk, 1
mission pita bread pockets plain, 9.0, 0.1KG, 3.79, 0.42KG, 1
mission pita bread pockets wholemeal, 9.0, 0.1KG, 3.79, 0.42KG, 1
bazaar pizza bases gourmet, 3.00, 1ea, 5.99, 2pk, 1
bazaar pizza bases mini, 2.66, 1ea, 7.99, 3pk, 1
bazaar pizza bases wholemeal, 3.00, 1ea, 5.99, 2pk, 1
mission pizza bases plain, 5.2, 0.1KG, 2.59, 0.5KG, 1
mission pizza bases round, 20.0, 0.1KG, 3.99, 0.2KG, 1
mission round pizza bases garlic, 20.0, 0.1KG, 3.99, 0.2KG, 1
old time pizza bases gluten free, 20.0, 0.1KG, 5.99, 0.3KG, 1
toscano pizza bases, 26.7, 0.1KG, 4.00, 0.15KG, 1
toscano pizza bases bruschettina, 21.3, 0.1KG, 5.75, 0.27KG, 1
woolworths select sandwich pockets white, 28.6, 0.1KG, 2.29, 0.32KG, 1
woolworths select sandwich pockets wholemeal, 28.6, 0.1KG, 2.29, 0.32KG, 1
bazaar turkish bread pide, 8.9, 0.1KG, 3.99, 0.45KG, 1
australias own wraps organic quinoa, 22.2, 0.1KG, 4.99, 0.225KG, 1
bfree wraps multigrain, 28.9, 0.1KG, 7.99, 0.276KG, 1
select mini chocolate cake happy birthday, 47.4, 0.1KG, 9.00, 0.19KG, 1
sugar and spice cake carrot, 14.0, 0.1KG, 7.00, 0.5KG, 1
sugar and spice cake hummingbird, 14.0, 0.1KG, 7.00, 0.5KG, 1
susan day cake vanilla iced maeira, 7.6, 0.1KG, 2.29, 0.3KG, 1
susan day citrus cake iced maderia, 7.6, 0.1KG, 2.29, 0.3KG, 1
susan day jam cake sponge roll, 10.0, 0.1KG, 3.99, 0.4KG, 1
weight watchers cake carrot slice, 45.4, 0.1KG, 4.99, 0.11KG, 1
weight watchers cake chocolate mini rolls, 52.2, 0.1KG, 6.00, 0.115KG, 1
woolworths cake banana and walnut bread slices, 62.5, 0.1KG, 6.25, 0.5KG, 1
woolworths cake banana bread slice, 16.0, 0.1KG, 1.60, 0.1KG, 1
woolworths cake banana bread slices, 12.5, 0.1KG, 6.25, 0.5KG, 1
woolworths cake block chocolate, 10.4, 0.1KG, 5.20, 0.5KG, 1
woolworths cake block marble, 10.4, 0.1KG, 5.20, 0.5KG, 1
woolworths cake chocolate mud, 6.00, 1ea, 6.00, 0.585KG, 1
woolworths cake chocolate truffle, 22.2, 0.1KG, 2.00, 0.09KG, 1
woolworths cake double chocolate sponge, 12.4, 0.1KG, 6.20, 0.5KG, 1
woolworths cake fruit and nut bread slice, 16.0, 0.1KG, 1.60, 0.1KG, 1
woolworths cake honey sponge roll, 12.4, 0.1KG, 6.20, 0.5KG, 1
woolworths mini muffin choc chip, 12.9, 0.1KG, 4.65, 0.36KG, 1
woolworths mini muffin double choc chip, 12.9, 0.1KG, 4.65, 0.36KG, 1
woolworths select muffin apple and bran, 11.9, 0.1KG, 3.80, 4pk, 1
woolworths select mini muffin raspberry, 12.9, 0.1KG, 4.65, 8pk, 1
balconi roll cacao, 13.5, 0.1KG, 2.99, 0.222KG, 1
balconi roll milk, 13.5, 0.1KG, 2.99, 0.222KG, 1
cakemark roll mini chocolate, 26.6, 0.1KG, 3.99, 0.15KG, 1
unibic shortbread italian, 10.0, 0.1KG, 4.99, 0.5KG, 1
cakemark slice brownies, 24.5, 0.1KG, 4.90, 0.2KG, 1
cakemark slice caramel shortcakes, 23.9, 0.1KG, 2.99, 0.125KG, 1
woolworth select slice apricot, 0.67, 1ea, 4.00, 6pk, 1
woolworth select slice caramel, 0.67, 1ea, 4.00, 6pk, 1
woolworth select slice rocky road, 0.67, 1ea, 4.00, 6pk, 1
loacker wafers white tortina, 34.3, 0.1KG, 4.29, 0.125KG, 1
woolworths tarts caramel and macadamia, 17.3, 0.1KG, 10.98, 0.635KG, 1
woolworths tarts custard, 0.83, 1ea, 3.30, 0.045KG, 1
woolworths tarts large custard, 9.4, 0.1KG, 4.49, 0.48KG, 1
woolworths baked tarts lemon, 17.9, 0.1KG, 10.98, 0.615KG, 1
woolworths tiramisu italian rich and creamy, 15.6, 0.1KG, 7.49, 0.48KG, 1
original waffle co waffles belgian style, 17.0, 0.1KG, 3.39, 0.2KG, 1
original waffle co waffles english style, 28.4, 0.1KG, 3.69, 0.13KG, 1
bagel house bagels plain 98% fat free, 1.35, 1ea, 5.39, 4pk, 1
bagel house bagels poppy seeds 98% fat free, 1.35, 1ea, 5.39, 4pk, 1
golden crumpets breaks, 0.63, 1ea, 3.80, 0.425KG, 1
golden crumpets round, 0.52, 1ea, 3.10, 0.3KG, 1
golden crumpets wholemeal round, 0.52, 1ea, 3.10, 0.3KG, 1
golden crumpets with oats, 5.2, 0.1KG, 3.10, 0.3KG, 1
livwell crumpets, 37.2, 0.1KG, 8.19, 0.22KG, 1
mighty soft crumpets splits 98% fat free, 0.42, 1ea, 2.49, 6pk, 1
mighty soft crumpets wholemeal, 6.0, 0.1KG, 2.49, 6pk, 1
helga's english muffins mixed grains, 1.00, 1ea, 3.99, 4pk, 1
helga's english muffins pumpkin, 1.00, 1ea, 3.99, 4pk, 1
helga's english muffins sunflower, poppy and oats, 1.00, 1ea, 3.99, 4pk, 1
livwell english muffins, 33.3, 0.1KG, 4.99, 0.15KG, 1
mighty soft english muffins 97% fat free, 0.78, 1ea, 4.69, 6pk, 1
mighty soft english muffins wholemeal, 12.3, 0.1KG, 4.69, 0.382KG, 1
tip top english muffins, 0.78, 1ea, 4.70, 0.4KG, 1
tip top english muffins multigrain, 0.78, 1ea, 4.70, 0.4KG, 1
tip top english muffins wholemeal, 0.78, 1ea, 4.70, 0.4KG, 1
woolworths cookies rock cakes, 0.69, 1ea, 4.16, 6pk, 1
woolworths select cookies ginger kisses, 19.0, 0.1KG, 3.79, 8pk, 1
homebrand lamington fingers, 7.6, 0.1KG, 2.65, 0.35KG, 1
woolworths lamington chocolate, 0.55, 1ea, 3.29, 6pk, 1
woolworths lamington chocolate fingers, 9.3, 0.1KG, 4.00, 18pk, 1
woolworths lamington chocolate orange, 0.55, 1ea, 3.29, 6pk, 1
woolworths lamington sponge roll, 12.4, 0.1KG, 6.20, 0.5KG, 1
woolworths select lamington jam filled, 9.1, 0.1KG, 3.29, each, 1
banquet muffin bulk pack, 7.3, 0.1KG, 9.00, 1.23KG, 1
banquet muffin chocolate and orange, 11.7, 0.1KG, 2.70, 2pk, 1
banquet muffin chocolate and raspberry, 11.7, 0.1KG, 2.70, 2pk, 1
created with jamie muffin carrot and walnut, 2.00, 1ea, 4.00, 2pk, 1
mills and wares muffin bars choc chip, 14.3, 0.1KG, 5.99, 0.42KG, 1
mills and wares muffin bars double choc chip, 14.3, 0.1KG, 5.99, 0.42KG, 1
mills and wares muffin bars sultana, 14.3, 0.1KG, 5.99, 0.42KG, 1
woolworths muffin blueberry, 8.3, 0.1KG, 3.80, 0.46KG, 1
woolworths muffin choc chip, 8.3, 0.1KG, 3.80, 0.46KG, 1
woolworths muffin double choc chip, 8.3, 0.1KG, 3.80, 0.46KG, 1
woolworths bake at home bread rolls buffet white, 0.25, 1ea, 2.98, 12pk, 1
woolworths bake at home bread rolls petit pain, 0.54, 1ea, 3.25, 6pk, 1
woolworths bake at home bread rolls turkish bread, 10.7, 0.1KG, 3.75, 0.35KG, 1
woolworths bake at home bread rolls white dinner, 0.50, 1ea, 2.99, 6pk, 1
woolworths fresh bread rolls extra soft hotdog, 0.33, 1ea, 6.00, 18pk, 1
woolworths fresh extra soft bread rolls jumbo hamburger, 0.58, 1ea, 3.50, 6pk, 1
woolworths select bread rolls bake at home white, 0.37, 1ea, 4.49, 12pk, 1
vita vigor bread sticks grissini bread sticks, 26.2, 0.1KG, 3.28, 0.125KG, 1
created with jamie focaccia garlic and rosemary, 16.1, 0.1KG, 5.00, 0.31KG, 1
created with jamie focaccia solanato tomato and basil, 14.5, 0.1KG, 5.00, 0.345KG, 1
bazaar lebanese bread white, 0.75, 1ea, 4.50, 6pk, 1
middle east lebanese bread khobz wholemeal round, 7.7, 0.1KG, 3.85, 0.5KG, 1
middle east khobz lebanese bread white round, 7.7, 0.1KG, 3.85, 0.5KG, 1
corn mountain bread, 15.0, 0.1KG, 3.00, 0.2KG, 1
organic wholemeal mountain bread, 15.0, 0.1KG, 3.00, 8pk, 1
rice mountain bread, 15.0, 0.1KG, 3.00, 0.2KG, 1
rye mountain bread, 15.0, 0.1KG, 3.00, 0.2KG, 1
woolworths mountain bread chia, 15.0, 0.1KG, 3.00, 0.2KG, 1
