27% fruit hot cross buns 6 pack, 0.58 , kg, 3.50, 27% fruit hot cross buns 6 pack, 1
rich chocolate cake 500g, 24.0, kg, 12.00, 0.5KG, 1
fruit scones 6 pack, 0.77 , kg, 4.59, fruit scones 6 pack, 1
wholemeal sandwich bread loaf 680g, 2.9, kg, 2.00, 0.68KG, 1
mini iced chocolate cupcakes 9 pack, 0.52 , kg, 4.65, mini iced chocolate cupcakes 9 pack, 1
chocolate mud cupcakes 4 pack, 1.13 , kg, 4.50, chocolate mud cupcakes 4 pack, 1
light fruit cake 800g, 6.4, kg, 5.15, 0.8KG, 1
multigrain toast bread loaf 680g, 2.9, kg, 2.00, 0.68KG, 1
mini jam donuts 6 pack, 0.42 , kg, 2.50, mini jam donuts 6 pack, 1
unfilled rectangular sponge 450g, 11.7, kg, 5.25, 0.45KG, 1
white mud cake 600g, 10.0, kg, 6.00, 0.6KG, 1
unfilled round sponge 460g, 11.4, kg, 5.25, 0.46KG, 1
iced rainbow cupcakes 4 pack, 1.13 , kg, 4.50, iced rainbow cupcakes 4 pack, 1
mini custard tarts 6 pack, 0.75 , kg, 4.50, mini custard tarts 6 pack, 1
cheese rolls 4 pack, 0.75 , kg, 3.00, cheese rolls 4 pack, 1
chocolate chip shortbread 12 pack, 0.38 , kg, 4.50, chocolate chip shortbread 12 pack, 1
snow drops 200g, 10.0, kg, 2.00, 0.2KG, 1
hot dog rolls 6 pack, 0.33 , kg, 2.00, hot dog rolls 6 pack, 1
vol au vents 12 pack 60g, 0.29 , kg, 3.45, 0.06KG, 1
butter shortbread fingers 12 pack, 0.38 , kg, 4.50, butter shortbread fingers 12 pack, 1
mars bar cookies 8 pack, 0.41 , kg, 3.30, mars bar cookies 8 pack, 1
lamingtons with jam and cream 2 pack, 2.00 , kg, 4.00, lamingtons with jam and cream 2 pack, 1
chocolate cake tray, 12.0, kg, 12.00, 1kg, 1
pumpkin seed and purplewheat paninis 3 pack, 1.33 , kg, 4.00, pumpkin seed and purplewheat paninis 3 pack, 1
aussie donuts 6 pack, 0.53 , kg, 3.15, aussie donuts 6 pack, 1
chocolate eclair with fresh cream 2 pack, 2.00 , kg, 4.00, chocolate eclair with fresh cream 2 pack, 1
pain au chocolate 4 pack, 0.75 , kg, 3.00, pain au chocolate 4 pack, 1
iced chocolate sponge with fresh cream 435g, 11.5, kg, 5.00, 0.435KG, 1
apple danishes 2 pack, 2.00 , kg, 4.00, apple danishes 2 pack, 1
fruit and muesli cookies 6 pack, 0.58 , kg, 3.50, fruit and muesli cookies 6 pack, 1
triple chocolate cookies 6 pack, 0.58 , kg, 3.50, triple chocolate cookies 6 pack, 1
hot dog rolls 12 pack, 0.32 , kg, 3.80, hot dog rolls 12 pack, 1
wholemeal quinoa stone baked pane di casa loaf 500g, 8.0, kg, 4.00, 0.5KG, 1
stone baked white batard 300g, 11.7, kg, 3.50, 0.3KG, 1
apple and cinnamon hot cross buns 6 pack, 0.58 , kg, 3.50, apple and cinnamon hot cross buns 6 pack, 1
lamington fingers 12 pack 270g, 0.42 , kg, 5.00, 0.27KG, 1
pizza bases 2 pack, 2.75 , kg, 5.50, pizza bases 2 pack, 1
madeira cake 300g, 16.7, kg, 5.00, 0.3KG, 1
light fruit cake 800g, 4.1, kg, 3.30, 0.8KG, 1
country grain multigrain organic rye bread 680g, 10.1, kg, 6.85, 0.68KG, 1
chia rice buns gluten free 315g, 20.6, kg, 6.50, 0.315KG, 1
gingerbread babies cookies 90g, 37.8, kg, 3.40, 0.09KG, 1
very berry vanilla muffin bites 190g, 50.0, kg, 5.00, 0.19KG, 1
oat crumpets 6 pack, 0.52 , kg, 3.10, oat crumpets 6 pack, 1
sunflower poppy and oat muffins 4 pack, 1.00 , kg, 3.99, sunflower poppy and oat muffins 4 pack, 1
mixed grain muffins 4 pack, 1.00 , kg, 3.99, mixed grain muffins 4 pack, 1
traditional homestead seed and grain bread 800g, 7.2, kg, 5.79, 0.8KG, 1
traditional stone milled wholemeal bread 800g, 7.2, kg, 5.79, 0.8KG, 1
sourdough bread loaf 680g, 10.7, kg, 7.30, 0.68KG, 1
wholemeal family pita bread 5 pack 225g, 10.2, kg, 2.30, 0.225KG, 1
white pita pockets 6 pack 250g, 8.0, kg, 2.00, 0.25KG, 1
croissants 12 pack, 0.83 , kg, 10.00, croissants 12 pack, 1
fruit 'n spice muffins 6 pack, 0.78 , kg, 4.69, fruit 'n spice muffins 6 pack, 1
mediterranean herb wraps 8 pack 567g, 8.8, kg, 4.99, 0.567KG, 1
quinoa wraps 8 inch 384g, 7.8, kg, 3.00, 0.384KG, 1
multigrain cobb 800g, 6.4, kg, 5.10, 0.8KG, 1
dark rye cobb 800g, 6.4, kg, 5.10, 0.8KG, 1
light rye cobb 800g, 6.4, kg, 5.10, 0.8KG, 1
roasted seed plus bread 620g, 8.2, kg, 5.09, 0.62KG, 1
malt fruit bread sliced 340g, 14.7, kg, 4.99, 0.34KG, 1
stone baked turkish rolls 3 pack, 1.33 , kg, 4.00, stone baked turkish rolls 3 pack, 1
stone baked pane di casa rolls 4 pack, 1.05 , kg, 4.20, stone baked pane di casa rolls 4 pack, 1
rustic baguette 300g, 6.7, kg, 2.00, 0.3KG, 1
rustic rolls 4 pack, 0.88 , kg, 3.50, rustic rolls 4 pack, 1
white sourdough vienna 550g, 7.3, kg, 4.00, 0.55KG, 1
stone baked multigrain sourdough cobb 500g, 8.0, kg, 4.00, 0.5KG, 1
stone baked light rye sourdough vienna 550g, 7.3, kg, 4.00, 0.55KG, 1
stone baked pane di casa 500g, 8.0, kg, 4.00, 0.5KG, 1
stone baked kalamata olive batard 300g, 13.3, kg, 4.00, 0.3KG, 1
sunflower triangle rolls 4 pack, 0.88 , kg, 3.50, sunflower triangle rolls 4 pack, 1
stone baked turkish bread 400g, 10.0, kg, 4.00, 0.4KG, 1
gourmet pizza bases 2 pack 440g, 13.6, kg, 5.99, 0.44KG, 1
white bread 650g, 1.3, kg, 0.85, 0.65KG, 1
sliced white bread 700g, 2.9, kg, 2.00, 0.7KG, 1
mixed grain bread 850g, 4.1, kg, 3.50, 0.85KG, 1
wholemeal sliced bread 700g, 2.9, kg, 2.00, 0.7KG, 1
white toast bread 650g, 1.3, kg, 0.85, 0.65KG, 1
raisin toast bread 520g, 10.0, kg, 5.20, 0.52KG, 1
light rye bread 680g, 5.1, kg, 3.50, 0.68KG, 1
the one omega 3 sandwich bread 700g, 4.3, kg, 3.00, 0.7KG, 1
dusted sponge with fresh cream 290g, 17.2, kg, 5.00, 0.29KG, 1
iced sponge with fresh cream 350g, 11.1, kg, 5.00, 0.35KG, 1
light rye sourdough rolls 4 pack, 1.05 , kg, 4.20, light rye sourdough rolls 4 pack, 1
stone baked ciabatta loaf 350g, 11.4, kg, 4.00, 0.35KG, 1
mixed indulgent donuts 4 pack, 1.25 , kg, 5.00, mixed indulgent donuts 4 pack, 1
pain au chocolat 2 pack, 1.50 , kg, 3.00, pain au chocolat 2 pack, 1
cinnamon swirls 2 pack, 2.00 , kg, 4.00, cinnamon swirls 2 pack, 1
caramel pretzel cookies 6 pack, 0.58 , kg, 3.50, caramel pretzel cookies 6 pack, 1
peanut butter cookies 6 pack, 0.58 , kg, 3.50, peanut butter cookies 6 pack, 1
raspberry danish 2 pack, 2.00 , kg, 4.00, raspberry danish 2 pack, 1
maple pecan danishes 2 pack, 2.00 , kg, 4.00, maple pecan danishes 2 pack, 1
stone baked potato and chive batard 300g, 11.7, kg, 3.50, 0.3KG, 1
wholemeal quinoa stone baked pane di casa rolls 4 pack, 1.05 , kg, 4.20, wholemeal quinoa stone baked pane di casa rolls 4 pack, 1
hi top wholemeal sandwich bread loaf 680g, 36.8, kg, 2.50, 0.68KG, 1
soft round rolls 12 pack, 0.32 , kg, 3.80, soft round rolls 12 pack, 1
hi top white sandwich loaf 680g, 3.7, kg, 2.50, 0.68KG, 1
low gi harvest grain block loaf 650g, 4.6, kg, 3.00, 0.65KG, 1
hi top white toast loaf 680g, 3.7, kg, 2.50, 0.68KG, 1
low gi harvest grain sandwich loaf 650g, 4.6, kg, 3.00, 0.65KG, 1
hi top wholemeal toast loaf 680g, 3.7, kg, 2.50, 0.68KG, 1
hi top white block loaf 680g, 3.7, kg, 2.50, 0.68KG, 1
hi top wholemeal block loaf, 3.7, kg, 2.50, hi top wholemeal block loaf 1 each, 1
mini raspberry and white chocolate hot cross buns 9 pack, 0.39 , kg, 3.50, mini raspberry and white chocolate hot cross buns 9 pack, 1
hand crafted orange flourless cake 550g, 160.0, kg, 16.00, 0.55KG, 1
hand crafted belgian chocolate swirl cheesecake 875g, 160.0, kg, 16.00, 0.875KG, 1
belgian chocolate gateau 800g, 20.0, kg, 16.00, 0.8KG, 1
tarte aux poire 570g, 28.1, kg, 16.00, 0.57KG, 1
raspberry ganache gateau 750g, 21.3, kg, 16.00, 0.75KG, 1
handcrafted petits fours orange and opera cakes 100g, 50.0, kg, 5.00, 0.1KG, 1
blueberry muffins 2 pack 150g, 2.50 , kg, 5.00, 0.15KG, 1
fruit bread 450g, 12.2, kg, 5.49, 0.45KG, 1
chia rice pizza bases gluten free 2 pack, 3.40 , kg, 6.80, chia rice pizza bases gluten free 2 pack, 1
chia rye bread wheat free 620g, 9.7, kg, 5.99, 0.62KG, 1
gingerbread girl 97% fat free 35g, 28.6, kg, 1.00, 0.035KG, 1
white sandwich bread 680g, 4.4, kg, 2.99, 0.68KG, 1
wholemeal sandwich bread 680g, 4.4, kg, 2.99, 0.68KG, 1
mezonot bread 680g, 7.1, kg, 4.80, 0.68KG, 1
seed bread 520g, 11.5, kg, 5.99, 0.52KG, 1
seeded rye bread 680g, 7.1, kg, 4.80, 0.68KG, 1
white bread 680g, 6.6, kg, 4.50, 0.68KG, 1
whoemeal bread 680g, 6.6, kg, 4.50, 0.68KG, 1
7 grain rye bread 850g, 8.2, kg, 6.99, 0.007KG, 1
ginger kisses 150g, 14.0, kg, 2.10, 0.15KG, 1
pan style bread slices with cheese 6 pack 450g, 13.0, kg, 5.83, 0.45KG, 1
marble choc brioche 400g, 17.5, kg, 6.99, 0.4KG, 1
mini chinois with pastry cream 300g, 16.6, kg, 4.99, 0.3KG, 1
golden crunch cookies 250g, 18.4, kg, 4.60, 0.25KG, 1
bread gluten free 550g, 10.6, kg, 5.85, 0.55KG, 1
country bread loaf 500g, 10.9, kg, 5.45, 0.5KG, 1
soy and linseed bread gluten free 550g, 10.6, kg, 5.85, 0.55KG, 1
peppa pig celebration cake 980g, 22.4, kg, 22.00, 0.98KG, 1
hello kitty celebration cake 980g, 20.4, kg, 20.00, 0.98KG, 1
spongebob celebration cake 940g, 23.4, kg, 22.00, 0.94KG, 1
crumpets 4 pack 4 pack, 2.05 , kg, 8.19, crumpets 4 pack 4 pack, 1
vitastic garlic afghan bread 400g, 10.4, kg, 4.15, 0.4KG, 1
souvlaki pita 6 pack 450g, 8.6, kg, 3.89, 0.45KG, 1
crumpets 6 pack, 0.60 , kg, 3.59, crumpets 6 pack, 1
wholemeal muffins, 0.00 , kg, 4.69, wholemeal muffins, 1
round garlic and herb pizza base 200 g, 15.0, kg, 3.00, 0.2KG, 1
12 grains and seeds sandwich bread 700g, 7.8, kg, 5.45, 0.012KG, 1
bramley apple pies 6 pack 355g, 11.3, kg, 4.00, 0.355KG, 1